tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
233413	Mycobacterium bovis AF2122/97	32287372	0	live	lipF	BQ2027_MB3517C	PROBABLE ESTERASE/LIPASE LIPF			Mycobacterium_bovis_AF2122/97	NC_002945.4	3856210	3857340	minus	0		
233413	Mycobacterium bovis AF2122/97	32287184	0	live	lipy	BQ2027_MB3124C	pe-pgrs family protein, triacylglycerol lipase lipy (esterase/lipase) (triglyceride lipase) (tributyrase)			Mycobacterium_bovis_AF2122/97	NC_002945.4	3426737	3428050	minus	0		
243090	Rhodopirellula baltica SH 1	1795313	0	live	RB13156	RB13156	lipase/esterase				NC_005027.1	7061904	7063085	minus	0		
243090	Rhodopirellula baltica SH 1	1791469	0	live	RB7562	RB7562	lipase/esterase				NC_005027.1	4062057	4062959	minus	0		
272560	Burkholderia pseudomallei K96243	3094698	0	live	BPSL1431	BPSL1431	esterase/lipase			1	NC_006350.1	1667911	1668906	plus	0		
100226	Streptomyces coelicolor A3(2)	1099080	0	live	SCO3644	SCO3644, SCH10.22c	lipase/esterase				NC_003888.3	4022264	4023169	minus	0		
243090	Rhodopirellula baltica SH 1	1790916	0	live	RB4702	RB4702	lipase/esterase				NC_005027.1	2400274	2401710	minus	0		
765698	Mesorhizobium ciceri biovar biserrulae WSM1271	10120705	0	live	Mesci_5205	Mesci_5205	lipase/esterase				NC_014923.1	5363841	5364794	plus	0		
765698	Mesorhizobium ciceri biovar biserrulae WSM1271	10116281	0	live	Mesci_0836	Mesci_0836	lipase (esterase)				NC_014923.1	879588	880535	minus	0		
1928	Streptomyces rochei	4267749	0	live	ST1928_p029	ST1928_p029, pSLA2-L_p116	probable lipase/esterase				NC_004808.2	182293	183234	plus	0		
243090	Rhodopirellula baltica SH 1	1797003	0	live	RB2265	RB2265	lipase/esterase				NC_005027.1	1189523	1190518	plus	0		
220668	Lactobacillus plantarum WCFS1	1063602	0	live	lp_1002	lp_1002	lipase/esterase				NC_004567.2	925051	925845	minus	0		
1224746	Gluconobacter oxydans H24	29880349	0	live	B932_RS16710	B932_RS16710, B932_3570	lipase/esterase				NC_019397.1	20694	21716	minus	0		
267747	Propionibacterium acnes KPA171202	2933204	0	live	PPA_RS11685	PPA_RS11685, PPA2312	lipase/esterase				NC_006085.1	2512492	2513421	plus	0		
314315	Lactobacillus sakei subsp. sakei 23K	29638319	0	live	LCA_RS04475	LCA_RS04475, LSA0891	lipase/esterase				NC_007576.1	877746	878570	minus	0		
132474	Streptomyces rimosus subsp. rimosus	29530927	0	live	NH08_RS0111500	NH08_RS0111500	esterase/lipase-like protein	esterase/lipase-like protein									
211586	Shewanella oneidensis MR-1	1168654	0	live	SO_0801	SO_0801	esterase/lipase/thioesterase domain protein				NC_004347.2	813428	814342	minus	0		
211586	Shewanella oneidensis MR-1	1168482	0	live	SO_0616	SO_0616	lipase/esterase				NC_004347.2	642233	643144	plus	0		
224308	Bacillus subtilis subsp. subtilis str. 168	939715	0	live	estB	BSU_08350, BSU08350	secreted esterase / acylglycerol lipase	secreted esterase / acylglycerol lipase			NC_000964.3	910019	910651	plus	0		
220668	Lactobacillus plantarum WCFS1	1063342	0	live	lp_2923	lp_2923	lipase/esterase				NC_004567.2	2602345	2603175	minus	0		
220668	Lactobacillus plantarum WCFS1	1062002	0	live	lp_3562	lp_3562	lipase/esterase				NC_004567.2	3181784	3182620	minus	0		
220668	Lactobacillus plantarum WCFS1	1061983	0	live	lp_3561	lp_3561	lipase/esterase				NC_004567.2	3180935	3181771	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019151	0	live	NCgl1121	NCgl1121, Cgl1168	esterase/lipase				NC_003450.3	1227890	1228639	plus	0		
176299	Agrobacterium fabrum str. C58	1137121	0	live	Atu5348	Atu5348, AGR_pAT_499	lipase/esterase				NC_003064.2	339593	340501	plus	0		
176299	Agrobacterium fabrum str. C58	1134519	0	live	Atu2481	Atu2481, AGR_C_4503	lipase esterase			circular	NC_003062.2	2447755	2448561	plus	0		
243090	Rhodopirellula baltica SH 1	1796216	0	live	RB13154	RB13154	lipase/esterase				NC_005027.1	7059549	7060442	minus	0		
29320	Paenarthrobacter nicotinovorans	15879624	0	live	ESTA	ST29320_p004	putative lipase (esterase)				NC_021229.1	2124	3092	minus	0		
702459	Bifidobacterium bifidum PRL2010	9889546	0	live	BBPR_1419	BBPR_1419	xylan esterase/lipase				NC_014638.1	1679292	1680134	plus	0		
859656	Ralstonia solanacearum CFBP2957	9413490	0	live	RCFBP_mp20615	RCFBP_mp20615	putative esterase/lipase protein				NC_014309.1	1494730	1495821	plus	0		
